Start,Stop,Rate
1,1000000,1.24738028236364
1000001,2000000,2.71687243833333
2000001,3000000,2.88301211975
3000001,4000000,4.16326495933333
4000001,5000000,5.41419903158333
5000001,6000000,3.43029577633333
6000001,7000000,3.47916038875
7000001,8000000,3.67461883758333
8000001,9000000,3.8309855965
9000001,10000000,3.37165824183333
10000001,11000000,4.35872340816667
11000001,12000000,2.11095124691667
12000001,13000000,3.5671166905
13000001,14000000,2.46277645475
14000001,15000000,2.20868047141667
15000001,16000000,1.29002576208333
16000001,17000000,2.599597369
17000001,18000000,1.53434882308333
18000001,19000000,0.5863753465
19000001,20000000,0.332279362916667
20000001,21000000,0.5179648895
21000001,22000000,0.381143975166667
22000001,23000000,0.625467036166667
23000001,24000000,0
