Start,Stop,AverageTmrca
0,50000,24033.000000
50000,100000,30680.005880
100000,150000,44810.364320
150000,200000,32159.530700
200000,250000,14831.132160
250000,300000,18943.297340
300000,350000,17593.000000
350000,400000,17384.746600
400000,450000,36279.249280
450000,500000,69898.360320
500000,550000,28773.339040
550000,600000,22119.133100
600000,650000,12783.000000
650000,700000,12783.000000
700000,750000,12783.000000
750000,800000,12838.606800
800000,850000,15018.000000
850000,900000,18491.529120
900000,950000,18265.000000
950000,1000000,18265.000000
1000000,1050000,18265.000000
1050000,1100000,18265.000000
1100000,1150000,18265.000000
1150000,1200000,29196.500200
1200000,1250000,16171.083320
1250000,1300000,10742.000000
1300000,1350000,10742.000000
1350000,1400000,10742.000000
1400000,1450000,12851.888180
1450000,1500000,11193.000000
1500000,1550000,15452.276000
1550000,1600000,16093.000000
1600000,1650000,16093.000000
1650000,1700000,16093.000000
1700000,1750000,16093.000000
1750000,1800000,23790.601960
1800000,1850000,19147.000000
1850000,1900000,19147.000000
1900000,1950000,19726.560220
1950000,2000000,20494.000000
2000000,2050000,20494.000000
2050000,2100000,20022.429160
2100000,2150000,18931.872160
2150000,2200000,20494.000000
2200000,2250000,20494.000000
2250000,2300000,30954.900040
2300000,2350000,12280.000000
2350000,2400000,12280.000000
2400000,2450000,12280.000000
2450000,2500000,12280.000000
2500000,2550000,12280.000000
2550000,2600000,12280.000000
2600000,2650000,16530.027320
2650000,2700000,27044.000000
2700000,2750000,21065.094080
2750000,2800000,23599.927880
2800000,2850000,19724.019660
2850000,2900000,10829.000000
2900000,2950000,19303.134740
2950000,3000000,43235.296560
3000000,3050000,44198.551120
3050000,3100000,46783.525400
3100000,3150000,43185.500020
3150000,3200000,40744.472800
3200000,3250000,40149.865060
3250000,3300000,40612.000000
3300000,3350000,19044.880540
3350000,3400000,33071.882380
3400000,3450000,31961.252180
3450000,3500000,28429.415960
3500000,3550000,23096.744000
3550000,3600000,24881.643420
3600000,3650000,18887.735040
3650000,3700000,15612.000000
3700000,3750000,15524.305520
3750000,3800000,15331.000000
3800000,3850000,18871.787200
3850000,3900000,36738.890440
3900000,3950000,28936.576760
3950000,4000000,23297.000000
4000000,4050000,16613.063520
4050000,4100000,7593.000000
4100000,4150000,18789.323840
4150000,4200000,34882.551680
4200000,4250000,15052.102880
4250000,4300000,45321.981440
4300000,4350000,53847.718000
4350000,4400000,25938.937600
4400000,4450000,18104.704080
4450000,4500000,11724.000000
4500000,4550000,11724.000000
4550000,4600000,17118.573800
4600000,4650000,52571.178020
4650000,4700000,71945.937460
4700000,4750000,40097.260240
4750000,4800000,42935.642800
4800000,4850000,34009.792040
4850000,4900000,33410.000000
4900000,4950000,28743.077480
4950000,5000000,31928.347300
5000000,5050000,33414.163960
5050000,5100000,33881.434480
5100000,5150000,34268.160940
5150000,5200000,35261.213460
5200000,5250000,22666.424180
5250000,5300000,32255.143000
5300000,5350000,29671.190660
5350000,5400000,34402.128040
5400000,5450000,36300.488460
5450000,5500000,42202.677540
5500000,5550000,46379.234180
5550000,5600000,36873.052960
5600000,5650000,36651.672460
5650000,5700000,30767.870080
5700000,5750000,31105.041360
5750000,5800000,44828.875280
5800000,5850000,38236.417460
5850000,5900000,37418.315880
5900000,5950000,23897.278860
5950000,6000000,34568.105520
6000000,6050000,29678.366380
6050000,6100000,43221.719060
6100000,6150000,45921.841360
6150000,6200000,46042.451760
6200000,6250000,27471.002840
6250000,6300000,25734.281400
6300000,6350000,24306.866960
6350000,6400000,32800.165540
6400000,6450000,27177.733000
6450000,6500000,25977.676320
6500000,6550000,33206.173700
6550000,6600000,32828.395960
6600000,6650000,30534.924780
6650000,6700000,31248.570160
6700000,6750000,47979.267580
6750000,6800000,25593.147740
6800000,6850000,28970.960680
6850000,6900000,33659.983220
6900000,6950000,36325.226580
6950000,7000000,21988.491260
7000000,7050000,24299.560840
7050000,7100000,30393.155140
7100000,7150000,35025.518800
7150000,7200000,23451.849480
7200000,7250000,32736.564960
7250000,7300000,48911.478900
7300000,7350000,35976.962100
7350000,7400000,23387.270360
7400000,7450000,29744.932180
7450000,7500000,26628.740340
7500000,7550000,43255.366220
7550000,7600000,37116.823080
7600000,7650000,32618.077240
7650000,7700000,26281.130960
7700000,7750000,49264.734220
7750000,7800000,46130.799120
7800000,7850000,38594.259560
7850000,7900000,25058.971760
7900000,7950000,32754.980040
7950000,8000000,26291.282140
8000000,8050000,30257.009980
8050000,8100000,32437.869480
8100000,8150000,50682.897920
8150000,8200000,31165.235240
8200000,8250000,33582.119800
8250000,8300000,31652.853940
8300000,8350000,20386.797960
8350000,8400000,31616.855080
8400000,8450000,34283.275800
8450000,8500000,41180.604000
8500000,8550000,22259.992920
8550000,8600000,46278.892360
8600000,8650000,32852.726300
8650000,8700000,34311.808660
8700000,8750000,35884.254120
8750000,8800000,39072.526320
8800000,8850000,26963.290560
8850000,8900000,36936.528400
8900000,8950000,18501.384140
8950000,9000000,39173.972400
9000000,9050000,25241.369460
9050000,9100000,31323.058220
9100000,9150000,17839.798880
9150000,9200000,30839.482480
9200000,9250000,25709.938180
9250000,9300000,22474.359720
9300000,9350000,39360.065260
9350000,9400000,47784.268120
9400000,9450000,47517.248620
9450000,9500000,54726.858280
9500000,9550000,35926.874820
9550000,9600000,39558.674780
9600000,9650000,30519.626340
9650000,9700000,34603.087860
9700000,9750000,31671.569240
9750000,9800000,40954.007060
9800000,9850000,36114.478900
9850000,9900000,24266.228340
9900000,9950000,35198.133720
9950000,10000000,20808.290960
10000000,10050000,14469.000000
10050000,10100000,14469.000000
10100000,10150000,17438.197560
10150000,10200000,17012.199720
10200000,10250000,16081.000000
10250000,10300000,16081.000000
10300000,10350000,30494.649600
10350000,10400000,59141.000000
10400000,10450000,53626.940000
10450000,10500000,45485.464680
10500000,10550000,50677.128000
10550000,10600000,18192.830800
10600000,10650000,16081.000000
10650000,10700000,19278.638400
10700000,10750000,19601.000000
10750000,10800000,28573.160000
10800000,10850000,29416.811620
10850000,10900000,26337.567140
10900000,10950000,29248.345160
10950000,11000000,40013.415820
11000000,11050000,29088.245340
11050000,11100000,33909.619760
11100000,11150000,46268.109580
11150000,11200000,38565.202020
11200000,11250000,19492.330600
11250000,11300000,16825.000000
11300000,11350000,16825.000000
11350000,11400000,37688.477760
11400000,11450000,28848.056480
11450000,11500000,33186.120120
11500000,11550000,23010.000000
11550000,11600000,25171.804780
11600000,11650000,28237.692500
11650000,11700000,24376.857840
11700000,11750000,18884.232320
11750000,11800000,22579.465140
11800000,11850000,29097.225320
11850000,11900000,50838.537560
11900000,11950000,37569.000000
11950000,12000000,37569.000000
12000000,12050000,30937.727060
12050000,12100000,20214.903280
12100000,12150000,22540.904200
12150000,12200000,15319.402440
12200000,12250000,18169.022340
12250000,12300000,17785.000000
12300000,12350000,17785.000000
12350000,12400000,17221.360580
12400000,12450000,23125.062980
12450000,12500000,27269.159760
12500000,12550000,36145.338680
12550000,12600000,36465.562280
12600000,12650000,23610.000000
12650000,12700000,24138.026720
12700000,12750000,20438.584640
12750000,12800000,22617.499740
12800000,12850000,26942.372520
12850000,12900000,24560.896000
12900000,12950000,23988.743680
12950000,13000000,24927.935340
13000000,13050000,11987.401460
13050000,13100000,20343.767160
13100000,13150000,46887.016260
13150000,13200000,53813.044100
13200000,13250000,36239.000000
13250000,13300000,36239.000000
13300000,13350000,36239.000000
13350000,13400000,43974.066280
13400000,13450000,35728.003260
13450000,13500000,27091.753360
13500000,13550000,12250.000000
13550000,13600000,12675.709060
13600000,13650000,15975.605920
13650000,13700000,16008.509240
13700000,13750000,16194.000000
13750000,13800000,15148.247760
13800000,13850000,12672.000000
13850000,13900000,12672.000000
13900000,13950000,21340.303380
13950000,14000000,16052.572700
14000000,14050000,16667.000000
14050000,14100000,16769.141440
14100000,14150000,13239.193440
14150000,14200000,12672.000000
14200000,14250000,12672.000000
14250000,14300000,16736.180360
14300000,14350000,26214.325120
14350000,14400000,22362.320520
14400000,14450000,27055.791420
14450000,14500000,25626.372120
14500000,14550000,30691.489680
14550000,14600000,50099.584040
14600000,14650000,61636.543480
14650000,14700000,34683.469120
14700000,14750000,33500.938280
14750000,14800000,27595.677120
14800000,14850000,39485.000000
14850000,14900000,46776.767420
14900000,14950000,27538.700740
14950000,15000000,25931.000000
15000000,15050000,34219.854820
15050000,15100000,25200.910040
15100000,15150000,52059.241340
15150000,15200000,37497.054900
15200000,15250000,27285.863280
15250000,15300000,26646.560720
15300000,15350000,32839.845780
15350000,15400000,39790.453740
15400000,15450000,39085.078240
15450000,15500000,36188.213320
15500000,15550000,26153.042500
15550000,15600000,31808.312380
15600000,15650000,36778.025260
15650000,15700000,30582.978800
15700000,15750000,29204.241000
15750000,15800000,32008.327700
15800000,15850000,34786.757520
15850000,15900000,25403.310480
15900000,15950000,38044.890720
15950000,16000000,35101.676840
16000000,16050000,30141.116360
16050000,16100000,41182.854220
16100000,16150000,34917.446060
16150000,16200000,28475.978840
16200000,16250000,40662.525680
16250000,16300000,36021.010680
16300000,16350000,15528.935600
16350000,16400000,34919.017060
16400000,16450000,28444.398800
16450000,16500000,44880.195020
16500000,16550000,51460.458080
16550000,16600000,59602.799000
16600000,16650000,25746.637500
16650000,16700000,18800.259720
16700000,16750000,24326.203940
16750000,16800000,42824.327400
16800000,16850000,45986.992980
16850000,16900000,29884.140820
16900000,16950000,36293.328080
16950000,17000000,34221.018880
17000000,17050000,33926.093420
17050000,17100000,17118.254860
17100000,17150000,24278.231160
17150000,17200000,31914.304080
17200000,17250000,42601.046180
17250000,17300000,23212.876060
17300000,17350000,33076.384280
17350000,17400000,42421.000880
17400000,17450000,43559.161420
17450000,17500000,38191.416200
17500000,17550000,35782.409780
17550000,17600000,36107.102360
17600000,17650000,38901.201840
17650000,17700000,22013.800540
17700000,17750000,30870.047960
17750000,17800000,23575.393600
17800000,17850000,24237.162340
17850000,17900000,34790.350200
17900000,17950000,25876.344400
17950000,18000000,21921.435700
18000000,18050000,22009.851020
18050000,18100000,33309.563480
18100000,18150000,35162.100800
18150000,18200000,39264.320800
18200000,18250000,36044.426660
18250000,18300000,39851.392360
18300000,18350000,41935.164500
18350000,18400000,25333.442900
18400000,18450000,17786.005900
18450000,18500000,32224.123320
18500000,18550000,36721.540640
18550000,18600000,33988.049380
18600000,18650000,25138.967840
18650000,18700000,35160.901040
18700000,18750000,38374.806740
18750000,18800000,24673.337760
18800000,18850000,27084.495900
18850000,18900000,32113.546780
18900000,18950000,37724.802760
18950000,19000000,25136.319760
19000000,19050000,33783.756360
19050000,19100000,33266.713240
19100000,19150000,29338.731360
19150000,19200000,36939.586920
19200000,19250000,42697.390340
19250000,19300000,30863.177960
19300000,19350000,24979.459540
19350000,19400000,29476.956100
19400000,19450000,36561.997800
19450000,19500000,27397.451680
19500000,19550000,15711.651200
19550000,19600000,19785.854100
19600000,19650000,47249.729360
19650000,19700000,31057.203920
19700000,19750000,26473.342560
19750000,19800000,43593.427160
19800000,19850000,56448.670000
19850000,19900000,42502.020340
19900000,19950000,31939.980360
19950000,20000000,27509.500040
20000000,20050000,25935.880920
20050000,20100000,28266.771420
20100000,20150000,34680.469040
20150000,20200000,49493.684520
20200000,20250000,26127.158700
20250000,20300000,22917.107680
20300000,20350000,23112.153160
20350000,20400000,34756.000000
20400000,20450000,34756.000000
20450000,20500000,34756.000000
20500000,20550000,37910.178360
20550000,20600000,23194.752880
20600000,20650000,22486.000000
20650000,20700000,22486.000000
20700000,20750000,24167.776000
20750000,20800000,18563.607700
20800000,20850000,10718.635520
20850000,20900000,13715.483440
20900000,20950000,17430.000000
20950000,21000000,21831.723920
21000000,21050000,34568.000000
21050000,21100000,34568.000000
21100000,21150000,33802.924600
21150000,21200000,33573.000000
21200000,21250000,72723.604800
21250000,21300000,25095.109320
21300000,21350000,15743.404220
21350000,21400000,16865.000000
21400000,21450000,16747.648800
21450000,21500000,17779.555440
21500000,21550000,13035.000000
21550000,21600000,34313.871420
21600000,21650000,41719.070860
21650000,21700000,23919.501760
21700000,21750000,18146.861040
21750000,21800000,17600.000000
21800000,21850000,12772.366900
21850000,21900000,14464.334000
21900000,21950000,17600.000000
21950000,22000000,17600.000000
22000000,22050000,14488.769900
22050000,22100000,15191.984440
22100000,22150000,23047.655200
22150000,22200000,15701.514920
22200000,22250000,15073.000000
22250000,22300000,16576.671020
